Ocuarb_v01_G000001.t0	Ocuarb_v01_G000001
Ocuarb_v01_G000002.t0	Ocuarb_v01_G000002
Ocuarb_v01_G000003.t0	Ocuarb_v01_G000003
Ocuarb_v01_G000004.t0	Ocuarb_v01_G000004
Ocuarb_v01_G000005.t0	Ocuarb_v01_G000005
Ocuarb_v01_G000006.t0	Ocuarb_v01_G000006
Ocuarb_v01_G000006.t1	Ocuarb_v01_G000006
Ocuarb_v01_G000007.t0	Ocuarb_v01_G000007
Ocuarb_v01_G000008.t0	Ocuarb_v01_G000008
Ocuarb_v01_G000009.t0	Ocuarb_v01_G000009
Ocuarb_v01_G000011.t0	Ocuarb_v01_G000011
Ocuarb_v01_G000012.t0	Ocuarb_v01_G000012
Ocuarb_v01_G000013.t0	Ocuarb_v01_G000013
Ocuarb_v01_G000014.t0	Ocuarb_v01_G000014
Ocuarb_v01_G000015.t0	Ocuarb_v01_G000015
Ocuarb_v01_G000016.t0	Ocuarb_v01_G000016
Ocuarb_v01_G000017.t0	Ocuarb_v01_G000017
Ocuarb_v01_G000018.t0	Ocuarb_v01_G000018
Ocuarb_v01_G000018.t1	Ocuarb_v01_G000018
Ocuarb_v01_G000019.t0	Ocuarb_v01_G000019
Ocuarb_v01_G000020.t0	Ocuarb_v01_G000020
Ocuarb_v01_G000021.t0	Ocuarb_v01_G000021
Ocuarb_v01_G000022.t0	Ocuarb_v01_G000022
Ocuarb_v01_G000023.t0	Ocuarb_v01_G000023
Ocuarb_v01_G000024.t0	Ocuarb_v01_G000024
Ocuarb_v01_G000025.t0	Ocuarb_v01_G000025
Ocuarb_v01_G000026.t0	Ocuarb_v01_G000026
Ocuarb_v01_G000027.t0	Ocuarb_v01_G000027
Ocuarb_v01_G000028.t0	Ocuarb_v01_G000028
Ocuarb_v01_G000029.t0	Ocuarb_v01_G000029
Ocuarb_v01_G000030.t0	Ocuarb_v01_G000030
Ocuarb_v01_G000031.t0	Ocuarb_v01_G000031
Ocuarb_v01_G000032.t0	Ocuarb_v01_G000032
Ocuarb_v01_G000033.t0	Ocuarb_v01_G000033
Ocuarb_v01_G000034.t0	Ocuarb_v01_G000034
Ocuarb_v01_G000035.t0	Ocuarb_v01_G000035
Ocuarb_v01_G000036.t0	Ocuarb_v01_G000036
Ocuarb_v01_G000037.t0	Ocuarb_v01_G000037
Ocuarb_v01_G000038.t0	Ocuarb_v01_G000038
Ocuarb_v01_G000041.t0	Ocuarb_v01_G000041
Ocuarb_v01_G000042.t0	Ocuarb_v01_G000042
Ocuarb_v01_G000042.t1	Ocuarb_v01_G000042
Ocuarb_v01_G000043.t0	Ocuarb_v01_G000043
Ocuarb_v01_G000045.t0	Ocuarb_v01_G000045
Ocuarb_v01_G000045.t1	Ocuarb_v01_G000045
Ocuarb_v01_G000045.t2	Ocuarb_v01_G000045
Ocuarb_v01_G000045.t3	Ocuarb_v01_G000045
Ocuarb_v01_G000046.t0	Ocuarb_v01_G000046
Ocuarb_v01_G000047.t0	Ocuarb_v01_G000047
Ocuarb_v01_G000048.t0	Ocuarb_v01_G000048
Ocuarb_v01_G000049.t0	Ocuarb_v01_G000049
Ocuarb_v01_G000050.t0	Ocuarb_v01_G000050
Ocuarb_v01_G000051.t0	Ocuarb_v01_G000051
Ocuarb_v01_G000052.t0	Ocuarb_v01_G000052
Ocuarb_v01_G000053.t0	Ocuarb_v01_G000053
Ocuarb_v01_G000054.t0	Ocuarb_v01_G000054
Ocuarb_v01_G000055.t0	Ocuarb_v01_G000055
