Xesp_000001-T1	Xesp_000001
Xesp_000002-T1	Xesp_000002
Xesp_000003-T1	Xesp_000003
Xesp_000004-T1	Xesp_000004
Xesp_000005-T1	Xesp_000005
Xesp_000006-T1	Xesp_000006
Xesp_000007-T1	Xesp_000007
Xesp_000008-T1	Xesp_000008
Xesp_000009-T1	Xesp_000009
Xesp_000010-T1	Xesp_000010
Xesp_000011-T1	Xesp_000011
Xesp_000012-T1	Xesp_000012
Xesp_000013-T1	Xesp_000013
Xesp_000014-T1	Xesp_000014
Xesp_000015-T1	Xesp_000015
Xesp_000016-T1	Xesp_000016
Xesp_000017-T1	Xesp_000017
Xesp_000018-T1	Xesp_000018
Xesp_000019-T1	Xesp_000019
Xesp_000020-T1	Xesp_000020
Xesp_000021-T1	Xesp_000021
Xesp_000022-T1	Xesp_000022
Xesp_000023-T1	Xesp_000023
Xesp_000024-T1	Xesp_000024
Xesp_000025-T1	Xesp_000025
Xesp_000026-T1	Xesp_000026
Xesp_000027-T1	Xesp_000027
Xesp_000028-T1	Xesp_000028
Xesp_000029-T1	Xesp_000029
Xesp_000030-T1	Xesp_000030
Xesp_000032-T1	Xesp_000032
Xesp_000033-T1	Xesp_000033
Xesp_000034-T1	Xesp_000034
Xesp_000035-T1	Xesp_000035
Xesp_000036-T1	Xesp_000036
Xesp_000037-T1	Xesp_000037
Xesp_000038-T1	Xesp_000038
Xesp_000039-T1	Xesp_000039
Xesp_000040-T1	Xesp_000040
Xesp_000041-T1	Xesp_000041
Xesp_000042-T1	Xesp_000042
Xesp_000043-T1	Xesp_000043
Xesp_000044-T1	Xesp_000044
Xesp_000045-T1	Xesp_000045
Xesp_000046-T1	Xesp_000046
Xesp_000047-T1	Xesp_000047
Xesp_000048-T1	Xesp_000048
Xesp_000049-T1	Xesp_000049
Xesp_000050-T1	Xesp_000050
Xesp_000051-T1	Xesp_000051
Xesp_000052-T1	Xesp_000052
Xesp_000054-T1	Xesp_000054
Xesp_000055-T1	Xesp_000055
Xesp_000056-T1	Xesp_000056
Xesp_000057-T1	Xesp_000057
Xesp_000058-T1	Xesp_000058
Xesp_000059-T1	Xesp_000059
Xesp_000060-T1	Xesp_000060
Xesp_000061-T1	Xesp_000061
Xesp_000062-T1	Xesp_000062
Xesp_000063-T1	Xesp_000063
Xesp_000064-T1	Xesp_000064
Xesp_000065-T1	Xesp_000065
Xesp_000066-T1	Xesp_000066
Xesp_000067-T1	Xesp_000067
Xesp_000068-T1	Xesp_000068
Xesp_000069-T1	Xesp_000069
Xesp_000070-T1	Xesp_000070
Xesp_000071-T1	Xesp_000071
Xesp_000072-T1	Xesp_000072
Xesp_000073-T1	Xesp_000073
Xesp_000074-T1	Xesp_000074
Xesp_000075-T1	Xesp_000075
Xesp_000076-T1	Xesp_000076
Xesp_000077-T1	Xesp_000077
Xesp_000078-T1	Xesp_000078
Xesp_000079-T1	Xesp_000079
Xesp_000080-T1	Xesp_000080
Xesp_000081-T1	Xesp_000081
Xesp_000082-T1	Xesp_000082
Xesp_000083-T1	Xesp_000083
Xesp_000084-T1	Xesp_000084
Xesp_000085-T1	Xesp_000085
Xesp_000086-T1	Xesp_000086
Xesp_000087-T1	Xesp_000087
Xesp_000088-T1	Xesp_000088
Xesp_000089-T1	Xesp_000089
Xesp_000090-T1	Xesp_000090
Xesp_000092-T1	Xesp_000092
Xesp_000093-T1	Xesp_000093
Xesp_000094-T1	Xesp_000094
Xesp_000095-T1	Xesp_000095
Xesp_000096-T1	Xesp_000096
Xesp_000097-T1	Xesp_000097
Xesp_000098-T1	Xesp_000098
Xesp_000100-T1	Xesp_000100
Xesp_000101-T1	Xesp_000101
Xesp_000102-T1	Xesp_000102
Xesp_000103-T1	Xesp_000103
Xesp_000104-T1	Xesp_000104
Xesp_000105-T1	Xesp_000105
Xesp_000106-T1	Xesp_000106
Xesp_000107-T1	Xesp_000107
Xesp_000108-T1	Xesp_000108
Xesp_000109-T1	Xesp_000109
Xesp_000110-T1	Xesp_000110
Xesp_000111-T1	Xesp_000111
Xesp_000112-T1	Xesp_000112
Xesp_000113-T1	Xesp_000113
Xesp_000114-T1	Xesp_000114
Xesp_000115-T1	Xesp_000115
Xesp_000117-T1	Xesp_000117
Xesp_000118-T1	Xesp_000118
Xesp_000120-T1	Xesp_000120
Xesp_000121-T1	Xesp_000121
Xesp_000122-T1	Xesp_000122
Xesp_000123-T1	Xesp_000123
Xesp_000124-T1	Xesp_000124
Xesp_000125-T1	Xesp_000125
Xesp_000127-T1	Xesp_000127
Xesp_000128-T1	Xesp_000128
Xesp_000129-T1	Xesp_000129
Xesp_000130-T1	Xesp_000130
Xesp_000131-T1	Xesp_000131
Xesp_000132-T1	Xesp_000132
Xesp_000133-T1	Xesp_000133
Xesp_000134-T1	Xesp_000134
Xesp_000135-T1	Xesp_000135
Xesp_000136-T1	Xesp_000136
Xesp_000137-T1	Xesp_000137
Xesp_000138-T1	Xesp_000138
Xesp_000139-T1	Xesp_000139
Xesp_000140-T1	Xesp_000140
