metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0011	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc004	lc004|0.43;lc045|0.34;lc033|0.12;lc037|0.09
mc.0183	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|0.95	lc004	lc004|0.76;lc033|0.09;lc037|0.09
mc.0062	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc004	lc004|0.83;lc067|0.14
mc.0294	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc004	lc004|0.72;lc045|0.15;lc067|0.08
mc.0326	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc004	lc004|0.99
mc.0248	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|0.98	lc004	lc004|0.94
mc.0189	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|0.84;gastrodermis_like|0.14	lc004	lc004|0.84;lc011|0.11
mc.0085	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc004	lc004|0.99
mc.0127	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|0.91	lc010	lc010|0.44;lc045|0.34;lc034|0.09
mc.0229	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc010	lc010|0.55;lc045|0.43
mc.0165	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc010	lc010|0.79;lc045|0.18
mc.0216	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|0.61;gastrodermis_2|0.37	lc010	lc010|0.47;lc035|0.37;lc045|0.11
mc.0274	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|0.98	lc010	lc010|0.52;lc045|0.29;lc067|0.13
mc.0068	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|1.00	lc010	lc010|0.60;lc045|0.39
mc.0231	gastrodermis_1	wheat1	gastrodermis_1	gastrodermis_1|0.61;gastrodermis_2|0.39	lc010	lc010|0.47;lc035|0.39;lc045|0.12
