metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0149	gastrodermis	wheat1	gastrodermis	gastrodermis|0.95	lc006	lc006|0.76;lc037|0.15
mc.0206	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc006	lc006|0.89;lc012|0.08
mc.0187	gastrodermis	wheat1	gastrodermis	gastrodermis|0.51;epidermis_like_1|0.18;neuron_36_peptidergic|0.13	lc006	lc006|0.30;lc001|0.18;lc037|0.15;lc017|0.13
mc.0001	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc006	lc006|0.55;lc049|0.39
mc.0174	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc006	lc006|0.49;lc049|0.42;lc020|0.09
mc.0121	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc006	lc006|0.98
mc.0213	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.74;lc012|0.26
mc.0164	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc010	lc010|0.82;lc012|0.11;lc044|0.06
mc.0232	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.52;lc012|0.39;lc020|0.07
mc.0110	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.45;lc012|0.45;lc044|0.09
mc.0132	gastrodermis	wheat1	gastrodermis	gastrodermis|0.69;gastrodermis_muscle_parietal_circular_prog|0.31	lc010	lc010|0.43;lc018|0.28;lc012|0.14;lc044|0.07
mc.0090	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.71;lc012|0.29
mc.0186	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc010	lc010|0.65;lc012|0.33
mc.0216	gastrodermis	wheat1	gastrodermis	gastrodermis|0.84;gastrodermis_muscle_parietal_circular_prog|0.15	lc012	lc012|0.27;lc020|0.23;lc010|0.21;lc018|0.12;lc006|0.05;lc044|0.05
mc.0098	gastrodermis	wheat1	gastrodermis	gastrodermis|0.60;neuron_19|0.38	lc012	lc012|0.45;lc008|0.33;lc037|0.08
mc.0146	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.48;lc020|0.29;lc010|0.18
mc.0155	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.51;lc010|0.49
mc.0135	gastrodermis	wheat1	gastrodermis	gastrodermis|0.88;neuron_2_precursors|0.06	lc012	lc012|0.41;lc010|0.33;lc044|0.09;lc021|0.06
mc.0108	gastrodermis	wheat1	gastrodermis	gastrodermis|0.91;gastrodermis_muscle_parietal_circular_prog|0.09	lc012	lc012|0.59;lc010|0.27;lc018|0.09
mc.0200	gastrodermis	wheat1	gastrodermis	gastrodermis|0.64;neuron_18|0.16;epidermis_like_1|0.10;neuron_19|0.07	lc020	lc020|0.42;lc044|0.17;lc036|0.12;lc004|0.10;lc008|0.07
mc.0109	gastrodermis	wheat1	gastrodermis	gastrodermis|0.87;gastrodermis_muscle_parietal_circular_prog|0.07	lc020	lc020|0.82;lc018|0.07
mc.0043	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc020	lc020|0.60;lc006|0.35
mc.0030	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc020	lc020|0.74;lc012|0.12
mc.0106	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc020	lc020|0.78;lc012|0.09;lc010|0.05;lc044|0.05
mc.0222	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc020	lc020|0.55;lc006|0.20;lc049|0.10;lc054|0.10
mc.0025	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc037	lc037|0.48;lc012|0.34;lc010|0.07;lc006|0.05
mc.0175	gastrodermis	wheat1	gastrodermis	gastrodermis|0.60;neuron_7|0.16;neuron_13|0.11	lc037	lc037|0.39;lc012|0.14;lc030|0.12;lc016|0.11
mc.0205	gastrodermis	wheat1	gastrodermis	gastrodermis|0.73;epidermis_like_1|0.08;cnidocyte_nematocytes|0.08	lc044	lc044|0.25;lc012|0.22;lc037|0.17;lc010|0.09;lc023|0.08;lc001|0.06
mc.0086	gastrodermis	wheat1	gastrodermis	gastrodermis|0.94;gastrodermis_muscle_parietal_circular_prog|0.06	lc044	lc044|0.45;lc012|0.27;lc010|0.21
mc.0062	gastrodermis	wheat1	gastrodermis	gastrodermis|0.85	lc049	lc049|0.62;lc006|0.21
mc.0042	gastrodermis	wheat1	gastrodermis	gastrodermis|0.91	lc049	lc049|0.66;lc006|0.24
mc.0045	gastrodermis	wheat1	gastrodermis	gastrodermis|0.85;neuron_7|0.06	lc054	lc054|0.71;lc049|0.10;lc030|0.06
mc.0057	gastrodermis	wheat1	gastrodermis	gastrodermis|0.52;digestive_filaments|0.35;epidermis_like_1|0.11	lc027	lc027|0.33;lc006|0.27;lc020|0.22;lc001|0.11
mc.0233	gastrodermis	wheat1	gastrodermis	gastrodermis|0.45;neuron_19|0.28;epidermis_like_1|0.10;neuron_7|0.07	lc008	lc008|0.25;lc006|0.15;lc012|0.12;lc037|0.12;lc001|0.10;lc030|0.07
mc.0181	gastrodermis	wheat1	gastrodermis	gastrodermis|0.46;gland_16|0.21;neuron_19|0.16;neuron_18|0.10	lc022	lc022|0.21;lc044|0.20;lc006|0.17;lc008|0.16;lc036|0.10
mc.0143	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.56;gastrodermis|0.21;digestive_filaments_like|0.19	lc018	lc018|0.28;lc029|0.19;lc032|0.15;lc035|0.13;lc012|0.09;lc044|0.07
mc.0160	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.72;gastrodermis|0.10;epidermis_like_1|0.10;digestive_filaments_like|0.07	lc018	lc018|0.69;lc044|0.10;lc029|0.07;lc004|0.06
mc.0078	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.82;digestive_filaments_like|0.11;epidermis_like_1|0.06	lc018	lc018|0.58;lc032|0.18;lc029|0.11;lc035|0.06;lc001|0.06
