metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0285	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.74;lc016|0.15;lc010|0.10
mc.0345	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.79;lc032|0.16
mc.0071	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.56;lc016|0.44
mc.0350	gastrodermis	wheat1	gastrodermis	gastrodermis|0.91;germline_oocytes|0.09	lc001	lc001|0.79;lc016|0.12;lc024|0.09
mc.0302	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.90;lc016|0.10
mc.0133	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.65;lc032|0.21;lc016|0.09
mc.0035	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.62;lc010|0.33
mc.0075	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.86;lc016|0.11
mc.0275	gastrodermis	wheat1	gastrodermis	gastrodermis|0.93;gastrodermis_alga_hosting|0.07	lc001	lc001|0.73;lc016|0.12;lc036|0.07
mc.0062	gastrodermis	wheat1	gastrodermis	gastrodermis|0.99	lc001	lc001|0.75;lc049|0.14;lc016|0.08
mc.0152	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.88;lc010|0.06
mc.0288	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.69;lc016|0.26
mc.0078	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc001	lc001|0.65;lc016|0.35
mc.0166	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.59;lc007|0.39
mc.0030	gastrodermis	wheat1	gastrodermis	gastrodermis|0.70;gastrodermis_alga_hosting|0.28	lc003	lc003|0.39;lc013|0.28;lc040|0.26
mc.0238	gastrodermis	wheat1	gastrodermis	gastrodermis|0.96	lc003	lc003|0.70;lc017|0.08;lc032|0.08
mc.0046	gastrodermis	wheat1	gastrodermis	gastrodermis|0.90;gastrodermis_muscle_like|0.10	lc003	lc003|0.78;lc056|0.10
mc.0281	gastrodermis	wheat1	gastrodermis	gastrodermis|0.78;gastrodermis_like_1|0.22	lc003	lc003|0.32;lc019|0.22;lc032|0.13;lc029|0.11;lc026|0.10;lc013|0.05
mc.0335	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.70;lc007|0.30
mc.0101	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.87;lc007|0.10
mc.0202	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc003	lc003|0.57;lc007|0.37
mc.0099	gastrodermis	wheat1	gastrodermis	gastrodermis|0.80;gastrodermis_like_1|0.18	lc003	lc003|0.32;lc007|0.24;lc029|0.24;lc019|0.18
mc.0296	gastrodermis	wheat1	gastrodermis	gastrodermis|0.90	lc003	lc003|0.78;lc007|0.11
