metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0090	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.35;lc021|0.30;lc017|0.17;lc038|0.10;lc014|0.08
mc.0221	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.61;lc038|0.17;lc021|0.14;lc017|0.08
mc.0225	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.28;lc038|0.24;lc014|0.20;lc021|0.20;lc017|0.05
mc.0046	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.26;lc038|0.26;lc014|0.16;lc021|0.15;lc012|0.10;lc017|0.06
mc.0145	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.59;lc038|0.27;lc021|0.10
mc.0175	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.47;lc021|0.27;lc017|0.20;lc038|0.06
mc.0173	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.40;lc038|0.22;lc021|0.17;lc014|0.13;lc017|0.06
mc.0028	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.50;lc017|0.37;lc021|0.09
mc.0006	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.38;lc021|0.33;lc017|0.20;lc038|0.06
mc.0091	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.54;lc017|0.25;lc038|0.15
mc.0252	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.38;lc017|0.25;lc038|0.23;lc021|0.08
mc.0174	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc005	lc005|0.48;lc038|0.32;lc017|0.11;lc021|0.08
mc.0204	gastrodermis	wheat1	gastrodermis	gastrodermis|0.78;gland_calicoblast_like|0.21	lc012	lc012|0.33;lc017|0.22;lc040|0.14;lc014|0.11;lc021|0.06;lc048|0.06
mc.0038	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.57;lc014|0.30;lc017|0.08
mc.0196	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.50;lc014|0.38;lc021|0.12
mc.0049	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.81;lc014|0.18
mc.0274	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc012	lc012|0.71;lc057|0.12
mc.0208	gastrodermis	wheat1	gastrodermis	gastrodermis|0.97	lc012	lc012|0.41;lc017|0.41;lc014|0.05;lc021|0.05
mc.0050	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.56;lc012|0.35;lc021|0.06
mc.0012	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.35;lc017|0.29;lc021|0.18;lc005|0.08;lc012|0.06
mc.0194	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.43;lc017|0.27;lc005|0.13;lc021|0.12
mc.0112	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.63;lc021|0.20;lc012|0.14
mc.0259	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.49;lc021|0.30;lc038|0.09;lc012|0.08
mc.0255	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.36;lc012|0.29;lc017|0.26;lc021|0.07
mc.0138	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.66;lc021|0.22;lc017|0.06;lc012|0.05
mc.0279	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.45;lc012|0.27;lc005|0.11;lc021|0.07
mc.0093	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc014	lc014|0.41;lc021|0.30;lc017|0.15;lc005|0.07
mc.0250	gastrodermis	wheat1	gastrodermis	gastrodermis|0.98	lc017	lc017|0.46;lc057|0.22;lc012|0.15;lc005|0.10
mc.0149	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc017	lc017|0.39;lc021|0.28;lc005|0.23;lc012|0.07
mc.0195	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc017	lc017|0.46;lc021|0.23;lc005|0.19;lc014|0.06
mc.0126	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc017	lc017|0.35;lc021|0.23;lc014|0.22;lc005|0.16
mc.0251	gastrodermis	wheat1	gastrodermis	gastrodermis|1.00	lc017	lc017|0.47;lc021|0.29;lc005|0.21
