Ocupat_v02_G000001.t0	Ocupat_v02_G000001
Ocupat_v02_G000002.t0	Ocupat_v02_G000002
Ocupat_v02_G000003.t0	Ocupat_v02_G000003
Ocupat_v02_G000004.t0	Ocupat_v02_G000004
Ocupat_v02_G000005.t0	Ocupat_v02_G000005
Ocupat_v02_G000006.t0	Ocupat_v02_G000006
Ocupat_v02_G000007.t0	Ocupat_v02_G000007
Ocupat_v02_G000007.t1	Ocupat_v02_G000007
Ocupat_v02_G000007.t2	Ocupat_v02_G000007
Ocupat_v02_G000008.t0	Ocupat_v02_G000008
Ocupat_v02_G000009.t0	Ocupat_v02_G000009
Ocupat_v02_G000010.t0	Ocupat_v02_G000010
Ocupat_v02_G000011.t0	Ocupat_v02_G000011
Ocupat_v02_G000012.t0	Ocupat_v02_G000012
Ocupat_v02_G000013.t0	Ocupat_v02_G000013
Ocupat_v02_G000014.t0	Ocupat_v02_G000014
Ocupat_v02_G000015.t0	Ocupat_v02_G000015
Ocupat_v02_G000016.t0	Ocupat_v02_G000016
Ocupat_v02_G000017.t0	Ocupat_v02_G000017
Ocupat_v02_G000017.t1	Ocupat_v02_G000017
Ocupat_v02_G000018.t0	Ocupat_v02_G000018
Ocupat_v02_G000019.t0	Ocupat_v02_G000019
Ocupat_v02_G000019.t1	Ocupat_v02_G000019
Ocupat_v02_G000020.t0	Ocupat_v02_G000020
Ocupat_v02_G000020.t1	Ocupat_v02_G000020
Ocupat_v02_G000020.t2	Ocupat_v02_G000020
Ocupat_v02_G000021.t0	Ocupat_v02_G000021
Ocupat_v02_G000022.t0	Ocupat_v02_G000022
Ocupat_v02_G000023.t0	Ocupat_v02_G000023
Ocupat_v02_G000024.t0	Ocupat_v02_G000024
Ocupat_v02_G000025.t0	Ocupat_v02_G000025
Ocupat_v02_G000026.t0	Ocupat_v02_G000026
Ocupat_v02_G000027.t0	Ocupat_v02_G000027
Ocupat_v02_G000028.t0	Ocupat_v02_G000028
Ocupat_v02_G000030.t0	Ocupat_v02_G000030
Ocupat_v02_G000031.t0	Ocupat_v02_G000031
Ocupat_v02_G000032.t0	Ocupat_v02_G000032
Ocupat_v02_G000033.t0	Ocupat_v02_G000033
Ocupat_v02_G000034.t0	Ocupat_v02_G000034
Ocupat_v02_G000034.t1	Ocupat_v02_G000034
Ocupat_v02_G000035.t0	Ocupat_v02_G000035
Ocupat_v02_G000036.t0	Ocupat_v02_G000036
Ocupat_v02_G000036.t1	Ocupat_v02_G000036
Ocupat_v02_G000036.t2	Ocupat_v02_G000036
Ocupat_v02_G000036.t3	Ocupat_v02_G000036
Ocupat_v02_G000038.t0	Ocupat_v02_G000038
Ocupat_v02_G000039.t0	Ocupat_v02_G000039
Ocupat_v02_G000040.t0	Ocupat_v02_G000040
Ocupat_v02_G000041.t0	Ocupat_v02_G000041
Ocupat_v02_G000042.t0	Ocupat_v02_G000042
Ocupat_v02_G000043.t0	Ocupat_v02_G000043
Ocupat_v02_G000044.t0	Ocupat_v02_G000044
Ocupat_v02_G000045.t0	Ocupat_v02_G000045
Ocupat_v02_G000046.t0	Ocupat_v02_G000046
Ocupat_v02_G000046.t1	Ocupat_v02_G000046
Ocupat_v02_G000047.t0	Ocupat_v02_G000047
Ocupat_v02_G000048.t0	Ocupat_v02_G000048
Ocupat_v02_G000049.t0	Ocupat_v02_G000049
Ocupat_v02_G000049.t1	Ocupat_v02_G000049
Ocupat_v02_G000050.t0	Ocupat_v02_G000050
Ocupat_v02_G000051.t0	Ocupat_v02_G000051
Ocupat_v02_G000051.t1	Ocupat_v02_G000051
Ocupat_v02_G000051.t2	Ocupat_v02_G000051
Ocupat_v02_G000051.t3	Ocupat_v02_G000051
Ocupat_v02_G000052.t0	Ocupat_v02_G000052
Ocupat_v02_G000052.t1	Ocupat_v02_G000052
Ocupat_v02_G000052.t2	Ocupat_v02_G000052
Ocupat_v02_G000052.t3	Ocupat_v02_G000052
Ocupat_v02_G000053.t0	Ocupat_v02_G000053
Ocupat_v02_G000053.t1	Ocupat_v02_G000053
Ocupat_v02_G000054.t0	Ocupat_v02_G000054
Ocupat_v02_G000055.t0	Ocupat_v02_G000055
Ocupat_v02_G000056.t0	Ocupat_v02_G000056
Ocupat_v02_G000057.t0	Ocupat_v02_G000057
Ocupat_v02_G000058.t0	Ocupat_v02_G000058
Ocupat_v02_G000059.t0	Ocupat_v02_G000059
Ocupat_v02_G000060.t0	Ocupat_v02_G000060
Ocupat_v02_G000061.t0	Ocupat_v02_G000061
Ocupat_v02_G000062.t0	Ocupat_v02_G000062
Ocupat_v02_G000063.t0	Ocupat_v02_G000063
Ocupat_v02_G000064.t0	Ocupat_v02_G000064
Ocupat_v02_G000065.t0	Ocupat_v02_G000065
Ocupat_v02_G000066.t0	Ocupat_v02_G000066
Ocupat_v02_G000066.t1	Ocupat_v02_G000066
Ocupat_v02_G000067.t0	Ocupat_v02_G000067
Ocupat_v02_G000068.t0	Ocupat_v02_G000068
Ocupat_v02_G000068.t1	Ocupat_v02_G000068
Ocupat_v02_G000069.t0	Ocupat_v02_G000069
Ocupat_v02_G000070.t0	Ocupat_v02_G000070
Ocupat_v02_G000071.t0	Ocupat_v02_G000071
Ocupat_v02_G000073.t0	Ocupat_v02_G000073
Ocupat_v02_G000074.t0	Ocupat_v02_G000074
Ocupat_v02_G000075.t0	Ocupat_v02_G000075
Ocupat_v02_G000076.t0	Ocupat_v02_G000076
Ocupat_v02_G000077.t0	Ocupat_v02_G000077
Ocupat_v02_G000078.t0	Ocupat_v02_G000078
Ocupat_v02_G000079.t0	Ocupat_v02_G000079
Ocupat_v02_G000080.t0	Ocupat_v02_G000080
Ocupat_v02_G000081.t0	Ocupat_v02_G000081
Ocupat_v02_G000084.t0	Ocupat_v02_G000084
Ocupat_v02_G000085.t0	Ocupat_v02_G000085
Ocupat_v02_G000086.t0	Ocupat_v02_G000086
Ocupat_v02_G000087.t0	Ocupat_v02_G000087
Ocupat_v02_G000088.t0	Ocupat_v02_G000088
Ocupat_v02_G000090.t0	Ocupat_v02_G000090
Ocupat_v02_G000091.t0	Ocupat_v02_G000091
Ocupat_v02_G000095.t0	Ocupat_v02_G000095
Ocupat_v02_G000097.t0	Ocupat_v02_G000097
Ocupat_v02_G000097.t1	Ocupat_v02_G000097
Ocupat_v02_G000097.t2	Ocupat_v02_G000097
Ocupat_v02_G000100.t0	Ocupat_v02_G000100
Ocupat_v02_G000101.t0	Ocupat_v02_G000101
Ocupat_v02_G000102.t0	Ocupat_v02_G000102
Ocupat_v02_G000103.t0	Ocupat_v02_G000103
Ocupat_v02_G000103.t1	Ocupat_v02_G000103
Ocupat_v02_G000104.t0	Ocupat_v02_G000104
Ocupat_v02_G000105.t0	Ocupat_v02_G000105
Ocupat_v02_G000106.t0	Ocupat_v02_G000106
Ocupat_v02_G000106.t1	Ocupat_v02_G000106
Ocupat_v02_G000106.t2	Ocupat_v02_G000106
Ocupat_v02_G000106.t3	Ocupat_v02_G000106
Ocupat_v02_G000106.t4	Ocupat_v02_G000106
Ocupat_v02_G000106.t5	Ocupat_v02_G000106
Ocupat_v02_G000108.t0	Ocupat_v02_G000108
Ocupat_v02_G000109.t0	Ocupat_v02_G000109
Ocupat_v02_G000110.t0	Ocupat_v02_G000110
Ocupat_v02_G000111.t0	Ocupat_v02_G000111
Ocupat_v02_G000112.t0	Ocupat_v02_G000112
Ocupat_v02_G000113.t0	Ocupat_v02_G000113
Ocupat_v02_G000113.t1	Ocupat_v02_G000113
Ocupat_v02_G000114.t0	Ocupat_v02_G000114
Ocupat_v02_G000114.t1	Ocupat_v02_G000114
Ocupat_v02_G000115.t0	Ocupat_v02_G000115
Ocupat_v02_G000117.t0	Ocupat_v02_G000117
Ocupat_v02_G000118.t0	Ocupat_v02_G000118
Ocupat_v02_G000119.t0	Ocupat_v02_G000119
Ocupat_v02_G000121.t0	Ocupat_v02_G000121
Ocupat_v02_G000121.t1	Ocupat_v02_G000121
Ocupat_v02_G000121.t2	Ocupat_v02_G000121
Ocupat_v02_G000122.t0	Ocupat_v02_G000122
Ocupat_v02_G000123.t0	Ocupat_v02_G000123
Ocupat_v02_G000124.t0	Ocupat_v02_G000124
Ocupat_v02_G000125.t0	Ocupat_v02_G000125
Ocupat_v02_G000127.t0	Ocupat_v02_G000127
Ocupat_v02_G000128.t0	Ocupat_v02_G000128
Ocupat_v02_G000129.t0	Ocupat_v02_G000129
Ocupat_v02_G000130.t0	Ocupat_v02_G000130
Ocupat_v02_G000131.t0	Ocupat_v02_G000131
Ocupat_v02_G000134.t0	Ocupat_v02_G000134
Ocupat_v02_G000136.t0	Ocupat_v02_G000136
Ocupat_v02_G000137.t0	Ocupat_v02_G000137
Ocupat_v02_G000138.t0	Ocupat_v02_G000138
Ocupat_v02_G000140.t0	Ocupat_v02_G000140
Ocupat_v02_G000142.t0	Ocupat_v02_G000142
Ocupat_v02_G000143.t0	Ocupat_v02_G000143
Ocupat_v02_G000144.t0	Ocupat_v02_G000144
Ocupat_v02_G000146.t0	Ocupat_v02_G000146
Ocupat_v02_G000148.t0	Ocupat_v02_G000148
Ocupat_v02_G000149.t0	Ocupat_v02_G000149
Ocupat_v02_G000150.t0	Ocupat_v02_G000150
Ocupat_v02_G000151.t0	Ocupat_v02_G000151
Ocupat_v02_G000152.t0	Ocupat_v02_G000152
Ocupat_v02_G000153.t0	Ocupat_v02_G000153
Ocupat_v02_G000154.t0	Ocupat_v02_G000154
Ocupat_v02_G000154.t1	Ocupat_v02_G000154
Ocupat_v02_G000155.t0	Ocupat_v02_G000155
Ocupat_v02_G000156.t0	Ocupat_v02_G000156
Ocupat_v02_G000157.t0	Ocupat_v02_G000157
Ocupat_v02_G000158.t0	Ocupat_v02_G000158
Ocupat_v02_G000158.t1	Ocupat_v02_G000158
Ocupat_v02_G000158.t2	Ocupat_v02_G000158
Ocupat_v02_G000158.t3	Ocupat_v02_G000158
Ocupat_v02_G000159.t0	Ocupat_v02_G000159
Ocupat_v02_G000160.t0	Ocupat_v02_G000160
Ocupat_v02_G000160.t1	Ocupat_v02_G000160
Ocupat_v02_G000161.t0	Ocupat_v02_G000161
Ocupat_v02_G000162.t0	Ocupat_v02_G000162
Ocupat_v02_G000163.t0	Ocupat_v02_G000163
Ocupat_v02_G000163.t1	Ocupat_v02_G000163
Ocupat_v02_G000163.t2	Ocupat_v02_G000163
Ocupat_v02_G000163.t3	Ocupat_v02_G000163
Ocupat_v02_G000163.t4	Ocupat_v02_G000163
Ocupat_v02_G000167.t0	Ocupat_v02_G000167
Ocupat_v02_G000167.t1	Ocupat_v02_G000167
Ocupat_v02_G000168.t0	Ocupat_v02_G000168
Ocupat_v02_G000169.t0	Ocupat_v02_G000169
Ocupat_v02_G000170.t0	Ocupat_v02_G000170
Ocupat_v02_G000170.t1	Ocupat_v02_G000170
Ocupat_v02_G000171.t0	Ocupat_v02_G000171
Ocupat_v02_G000172.t0	Ocupat_v02_G000172
Ocupat_v02_G000173.t0	Ocupat_v02_G000173
Ocupat_v02_G000175.t0	Ocupat_v02_G000175
Ocupat_v02_G000175.t1	Ocupat_v02_G000175
Ocupat_v02_G000175.t2	Ocupat_v02_G000175
