Hvul_v3_ATP6	MT_ATP6
Hvul_v3_ATP8	
Hvul_v3_COX2	MT_CO2
Hvul_v3_COX3	MT_CO3
Hvul_v3_KEG85_p02	MT_CO1
Hvul_v3_KEG85_p03	MT_CYB
Hvul_v3_KEG85_p04	MT_ND4
Hvul_v3_KEG85_p05	MT_ND1
Hvul_v3_KEG85_p06	
Hvul_v3_KEG85_p07	MT_ND3
Hvul_v3_KEG85_p08	
Hvul_v3_ND2	MT_ND2
Hvul_v3_ND5	MT_ND5
Hvul_v3_NM_001280803.1	LHCGR
Hvul_v3_NM_001280806.1	
Hvul_v3_NM_001280810.1	
Hvul_v3_NM_001280815.1	
Hvul_v3_NM_001280819.1	
Hvul_v3_NM_001280824.1	
Hvul_v3_NM_001280827.1	
Hvul_v3_NM_001280830.1	
Hvul_v3_NM_001280833.1	
Hvul_v3_NM_001280836.1	
Hvul_v3_NM_001280839.1	JUN
Hvul_v3_NM_001280845.1	DOK1
Hvul_v3_NM_001280849.1	RUNX1
Hvul_v3_NM_001280851.1	JUP
Hvul_v3_NM_001280853.1	TMEFF2
Hvul_v3_NM_001280857.1	AGRN
Hvul_v3_NM_001280861.1	
Hvul_v3_NM_001280866.1	NFKB1
Hvul_v3_NM_001280869.1	
Hvul_v3_NM_001280871.1	AGRN
Hvul_v3_NM_001280874.1	NLRP9
Hvul_v3_NM_001280876.1	
Hvul_v3_NM_001280881.1	
Hvul_v3_NM_001280883.1	
Hvul_v3_NM_001280885.1	AGRN
Hvul_v3_NM_001280890.1	FRAS1
Hvul_v3_NM_001280892.1	
Hvul_v3_NM_001280895.1	
Hvul_v3_NM_001280897.1	MYC
Hvul_v3_NM_001280914.1	TMEFF1
Hvul_v3_NM_001280917.1	
Hvul_v3_NM_001280919.1	
Hvul_v3_NM_001280922.1	
Hvul_v3_NM_001280927.1	LRRC59
Hvul_v3_NM_001280929.1	
Hvul_v3_NM_001280932.1	RFC1
Hvul_v3_NM_001280934.1	MYC
Hvul_v3_NM_001280937.1	
Hvul_v3_NM_001280939.1	CAD
Hvul_v3_NM_001280941.1	
Hvul_v3_NM_001280943.1	
Hvul_v3_NM_001280947.1	
Hvul_v3_NM_001280949.1	
Hvul_v3_NM_001280951.1	ECD
Hvul_v3_NM_001280953.1	
Hvul_v3_NM_001280955.1	
Hvul_v3_NM_001280959.1	FZD5
Hvul_v3_NM_001280963.1	
Hvul_v3_NM_001287351.1	YWHAB
Hvul_v3_NM_001287353.1	
Hvul_v3_NM_001287356.1	CASP2
Hvul_v3_NM_001287357.1	BMP7
Hvul_v3_NM_001287360.1	SOX21
Hvul_v3_NM_001287363.1	WNT3
Hvul_v3_NM_001287368.1	HMGB3
Hvul_v3_NM_001287373.1	PIWIL1
Hvul_v3_NM_001287375.1	MRC2
Hvul_v3_NM_001287380.1	YWHAG
Hvul_v3_NM_001287381.1	FTH1
Hvul_v3_NM_001287382.1	BCL2
Hvul_v3_NM_001287383.1	NME2
Hvul_v3_NM_001287384.1	KPNA3
Hvul_v3_NM_001287767.1	BAX
Hvul_v3_NM_001287770.1	
Hvul_v3_NM_001287773.1	OPN3
Hvul_v3_NM_001287776.1	RPL12
Hvul_v3_NM_001287777.1	RRH
Hvul_v3_NM_001287779.1	ZIC4
Hvul_v3_NM_001287780.1	OPN3
Hvul_v3_NM_001287783.1	BCL2L1
Hvul_v3_NM_001287786.1	OPN1SW
Hvul_v3_NM_001287788.1	YES1
Hvul_v3_NM_001287790.1	OPN3
Hvul_v3_NM_001287792.1	CASP3
Hvul_v3_NM_001287794.1	DVL1
Hvul_v3_NM_001287795.2	SOD1
Hvul_v3_NM_001287796.1	HOXD3
Hvul_v3_NM_001287797.1	DMC1
Hvul_v3_NM_001287798.1	RPL10
Hvul_v3_NM_001287799.1	RACK1
Hvul_v3_NM_001289902.1	OAZ2
Hvul_v3_NM_001300998.1	GREM1
Hvul_v3_NM_001309649.1	YAP1
Hvul_v3_NM_001309651.1	XPA
Hvul_v3_NM_001309653.1	EPHA5
Hvul_v3_NM_001309659.1	STRN3
Hvul_v3_NM_001309663.1	BMP2
Hvul_v3_NM_001309665.1	ASIC1
Hvul_v3_NM_001309669.1	COL2A1
Hvul_v3_NM_001309673.1	CAT
Hvul_v3_NM_001309675.1	FGFR1
Hvul_v3_NM_001309677.1	BMP7
Hvul_v3_NM_001309679.1	EFNB3
Hvul_v3_NM_001309681.1	PRKCA
Hvul_v3_NM_001309683.1	TBXT
Hvul_v3_NM_001309685.1	CREM
