Exapal_XM_021036134.2		
Exapal_XM_021036135.2	methionine_sulfoxide_reductase_B2	SelR/
Exapal_XM_021036137.1	forkhead_box_E3	Forkhead/
Exapal_XM_021036140.2		2OG-FeII_Oxy_3/
Exapal_XM_021036142.2		Death/
Exapal_XM_021036146.2	dual_serine_threonine_and_tyrosine_protein_kinase	Dynamin_N/Pkinase/
Exapal_XM_021036147.2	phospholipase_A2_receptor_1	PAN_1/Lectin_C/Laminin_G_3/Lectin_C/
Exapal_XM_021036149.1	mannose_receptor_C_type_2	Lectin_C/
Exapal_XM_021036150.2	transportin_1	IBN_N/HEAT/HEAT_EZ/HEAT/
Exapal_XM_021036151.2	general_transcription_factor_IIF_subunit_1	TFIIF_alpha/
Exapal_XM_021036152.2	C9orf72_SMCR8_complex_subunit	C9orf72-like/
Exapal_XM_021036153.2	forkhead_box_D3	Forkhead/
Exapal_XM_021036154.1	alanyl_aminopeptidase_membrane	ERAP1_C/
Exapal_XM_021036155.2	dipeptidyl_peptidase_7	Peptidase_S28/Peptidase_S28/
Exapal_XM_021036156.2	kinesin_family_member_2A	
Exapal_XM_021036159.2	alanyl_aminopeptidase_membrane	Peptidase_M1_N/Peptidase_M1/
Exapal_XM_021036160.2	solute_carrier_family_35_member_E1	TPT/
Exapal_XM_021036161.2	family_with_sequence_similarity_183_member_A	FAM183/
Exapal_XM_021036162.2	5_hydroxytryptamine_receptor_2C	7tm_1/
Exapal_XM_021036163.1		
Exapal_XM_021036164.2	mitochondrial_ribosomal_protein_L55	Mitoc_L55/
Exapal_XM_021036165.2		
Exapal_XM_021036166.1	mannose_receptor_C_type_2	Laminin_G_3/Lectin_C/
Exapal_XM_021036167.2	mannose_receptor_C_type_1	PAN_1/Lectin_C/Laminin_G_3/Lectin_C/
Exapal_XM_021036168.2	dual_serine_threonine_and_tyrosine_protein_kinase	Dynamin_N/Pkinase_Tyr/
Exapal_XM_021036169.2	ribosome_production_factor_1_homolog	Brix/
Exapal_XM_021036171.2	methyltransferase_like_4	MT-A70/MT-A70/
Exapal_XM_021036172.2	SET_domain_containing_9	
Exapal_XM_021036173.2	radial_spoke_head_component_1	MORN/MORN/MORN/MORN/MORN/MORN/
Exapal_XM_021036174.2	MON1_homolog_A_secretory_trafficking_associated	Fuz_longin_1/Fuz_longin_3/
Exapal_XM_021036176.2	HCLS1_binding_protein_3	PX/
Exapal_XM_021036179.2	cyclin_dependent_kinase_like_1	Pkinase/
Exapal_XM_021036180.2	protein_tyrosine_phosphatase_receptor_type_D	PTP_tm/Y_phosphatase/Y_phosphatase/
Exapal_XM_021036181.1		F5_F8_type_C/
Exapal_XM_021036182.2	BLM_RecQ_like_helicase	DEAD/Helicase_C/RecQ_Zn_bind/
Exapal_XM_021036187.1	neuropilin_1	F5_F8_type_C/F5_F8_type_C/
Exapal_XM_021036189.2	prolyl_4_hydroxylase_transmembrane	EF-hand_7/2OG-FeII_Oxy_3/
Exapal_XM_021036190.2	adenosine_A2a_receptor	7tm_1/
Exapal_XM_021036191.1		HTH_Tnp_4/DDE_Tnp_4/
Exapal_XM_021036192.1	THAP_domain_containing_6	THAP/HTH_Tnp_4/DDE_Tnp_4/
Exapal_XM_021036193.2	tolloid_like_1	Astacin/TSP_1/TSP_1/CUB/CUB/Lectin_C/
Exapal_XM_021036195.2	beta_1_4_N_acetyl_galactosaminyltransferase_4	CHGN/
Exapal_XM_021036198.1	zinc_finger_BED_type_containing_9	
Exapal_XM_021036200.2	cadherin_EGF_LAG_seven_pass_G_type_receptor_3	Cadherin/Cadherin/Cadherin/Cadherin/
Exapal_XM_021036203.2	tolloid_like_2	Astacin/TSP_1/
Exapal_XM_021036204.2	FAT_atypical_cadherin_4	Cadherin/
Exapal_XM_021036207.2	REX4_homolog_3_5_exonuclease	RNase_T/
Exapal_XM_021036208.2	solute_carrier_family_35_member_B1	UAA/
Exapal_XM_021036209.2	neuropeptide_FF_receptor_1	7tm_1/
Exapal_XM_021036211.2	prolyl_4_hydroxylase_transmembrane	
Exapal_XM_021036212.2	prolyl_4_hydroxylase_transmembrane	
Exapal_XM_021036213.2	bromodomain_containing_8	Bromodomain/
Exapal_XM_021036215.2	EGF_like_repeats_and_discoidin_domains_3	F5_F8_type_C/
Exapal_XM_021036216.2	adhesion_G_protein_coupled_receptor_E5	EGF_CA/
Exapal_XM_021036217.2	vasorin	
Exapal_XM_021036219.1	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/
Exapal_XM_021036220.2		
Exapal_XM_021036221.2		Cytochrom_B561/
Exapal_XM_021036222.2	RAB32_member_RAS_oncogene_family	Ras/
Exapal_XM_021036223.2	epithelial_cell_transforming_2	RhoGEF/
Exapal_XM_021036230.1	septin_2	Septin/
Exapal_XM_021036233.2		
Exapal_XM_021036234.2	symplekin	DUF3453/Symplekin_C/
Exapal_XM_021036235.2		
Exapal_XM_021036236.2	sorting_nexin_6	PX/Vps5/
Exapal_XM_021036237.2	apoptosis_resistant_E3_ubiquitin_protein_ligase_1	HECT/
Exapal_XM_021036238.2	XIAP_associated_factor_1	
Exapal_XM_021036240.2	ILK_associated_serine_threonine_phosphatase	PP2C/
Exapal_XM_021036245.2		
Exapal_XM_021036246.2		WES_acyltransf/WS_DGAT_C/
Exapal_XM_021036247.2	ADP_ribosylation_factor_like_GTPase_2	Arf/
Exapal_XM_021036248.2		
Exapal_XM_021036254.2	polycystin_1_like_2_gene_pseudogene	F5_F8_type_C/EGF/EGF/EGF/REJ/GPS/PLAT/PKD_channel/
Exapal_XM_021036255.2		
Exapal_XM_021036256.2		
Exapal_XM_021036258.1	kelch_like_family_member_28	Kelch_1/Kelch_1/Kelch_1/Kelch_1/
Exapal_XM_021036259.2	solute_carrier_family_5_member_3	SSF/
Exapal_XM_021036261.2	solute_carrier_family_16_member_10	MFS_1/
Exapal_XM_021036262.2	solute_carrier_family_16_member_10	MFS_1/MFS_1/
Exapal_XM_021036263.2	non_SMC_condensin_II_complex_subunit_G2	Condensin2nSMC/
Exapal_XM_021036265.2		
Exapal_XM_021036273.2	solute_carrier_family_5_member_3	SSF/
Exapal_XM_021036274.2	polycystin_1_like_2_gene_pseudogene	REJ/GPS/PLAT/PKD_channel/
Exapal_XM_021036275.2	contactin_associated_protein_1	F5_F8_type_C/
Exapal_XM_021036276.2	peroxidasin_like	I-set/CUB/
Exapal_XM_021036277.2	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
Exapal_XM_021036278.2	KIAA0586	TALPID3/
Exapal_XM_021036279.2	UV_stimulated_scaffold_protein_A	DUF2043/
Exapal_XM_021036280.2	interferon_regulatory_factor_2_binding_protein_1	IRF-2BP1_2/
Exapal_XM_021036281.2	microtubule_associated_protein_1_light_chain_3_gamma	Atg8/
Exapal_XM_021036282.2	phosphomevalonate_kinase	P-mevalo_kinase/
Exapal_XM_021036283.2	dipeptidyl_peptidase_3	Peptidase_M49/
Exapal_XM_021036284.2	claspin	
Exapal_XM_021036285.2	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
Exapal_XM_021036288.1	grancalcin	EF-hand_8/EF-hand_6/
Exapal_XM_021036289.2	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
Exapal_XM_021036290.2	coagulation_factor_VIII	PAN_1/F5_F8_type_C/
Exapal_XM_021036291.2	general_transcription_factor_IIE_subunit_2	TFIIE_beta/
Exapal_XM_021036292.2		
Exapal_XM_021036294.2		
