Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_011162.1	1	71	MT	plus	tRNA-Met		64987953	tRNA				KEG84_t01
NC_011162.1	72	2007	MT	plus	l-rRNA		64987952	rRNA				KEG84_r02
NC_011162.1	2008	14429	MT	plus	s-rRNA	ND5	6798793	protein-coding		Spis_YP_002149701_1	612	KEG84_r01
NC_011162.1	2843	3820	MT	plus	NADH dehydrogenase subunit 1	ND1	6798792	protein-coding		Spis_YP_002149702_1	325	KEG84_p12
NC_011162.1	3872	5011	MT	plus	cytochrome b	CYTB	6798791	protein-coding		Spis_YP_002149703_1	379	KEG84_p11
NC_011162.1	5232	6323	MT	plus	NADH dehydrogenase subunit 2	ND2	6798781	protein-coding		Spis_YP_002149704_1	363	KEG84_p10
NC_011162.1	6325	6888	MT	plus	NADH dehydrogenase subunit 6	ND6	6798788	protein-coding		Spis_YP_002149705_1	187	KEG84_p09
NC_011162.1	6888	7565	MT	plus	ATP synthase F0 subunit 6	ATP6	6798785	protein-coding		Spis_YP_002149706_1	225	KEG84_p08
NC_011162.1	8671	10116	MT	plus	NADH dehydrogenase subunit 4	ND4	6798787	protein-coding		Spis_YP_002149707_1	481	KEG84_p07
NC_011162.1	11031	11810	MT	plus	cytochrome c oxidase subunit III	COX3	6798783	protein-coding		Spis_YP_002149708_1	259	KEG84_p06
NC_011162.1	11786	12622	MT	plus	cytochrome c oxidase subunit II	COX2	6798782	protein-coding		Spis_YP_002149709_1	278	KEG84_p05
NC_011162.1	12604	12903	MT	plus	NADH dehydrogenase subunit 4L	ND4L	6798786	protein-coding		Spis_YP_002149710_1	99	KEG84_p04
NC_011162.1	12903	13247	MT	plus	NADH dehydrogenase subunit 3	ND3	6798790	protein-coding		Spis_YP_002149711_1	114	KEG84_p03
NC_011162.1	14442	14511	MT	plus	tRNA-Trp		64987950	tRNA				KEG84_t02
NC_011162.1	14513	14761	MT	plus	ATP synthase F0 subunit 8	ATP8	6798784	protein-coding		Spis_YP_002149712_1	82	KEG84_p02
NC_011162.1	14742	14803	MT	plus	tRNA-Trp		64987951	tRNA				KEG84_t03
NC_011162.1	15592	17139	MT	plus	cytochrome c oxidase subunit I	COX1	6798789	protein-coding		Spis_YP_002149713_1	515	KEG84_p01
NW_019217784.1	30	5662		minus	uncharacterized LOC111326392	LOC111326392	111326392	lncRNA	XR_002694437.1			
NW_019217784.1	2759	16078		plus	heat shock factor protein-like isoform X1	LOC111326177	111326177	protein-coding	XM_022930150.1	Spis_XP_022785885_1	501	
NW_019217784.1	30127	37233		plus	testis, prostate and placenta-expressed protein-like isoform X1	LOC111327133	111327133	protein-coding	XM_022931275.1	Spis_XP_022787010_1	230	
NW_019217784.1	36635	46976		minus	protein disulfide-isomerase like 2-1-like	LOC111327047	111327047	protein-coding	XM_022931173.1	Spis_XP_022786908_1	359	
NW_019217784.1	47053	62130		plus	ribosome biogenesis protein bop1-B-like	LOC111328643	111328643	protein-coding	XM_022933154.1	Spis_XP_022788889_1	744	
NW_019217784.1	62045	94880		minus	rotatin-like	LOC111328547	111328547	protein-coding	XM_022933046.1	Spis_XP_022788781_1	2371	
NW_019217784.1	94967	98182		plus	cytochrome b-c1 complex subunit Rieske, mitochondrial-like	LOC111347478	111347478	protein-coding	XM_022954750.1	Spis_XP_022810485_1	270	
NW_019217784.1	110982	127020		plus	uncharacterized protein LOC111325747	LOC111325747	111325747	protein-coding	XM_022929656.1	Spis_XP_022785391_1	530	
NW_019217784.1	128774	141551		minus	eukaryotic translation initiation factor 2-alpha kinase 1-like	LOC111326079	111326079	protein-coding	XM_022930043.1	Spis_XP_022785778_1	715	
NW_019217784.1	142652	145233		minus	THAP domain-containing protein 5-like	LOC111321864	111321864	protein-coding	XM_022924883.1	Spis_XP_022780618_1	262	
NW_019217784.1	145296	147436		plus	DEAD-box ATP-dependent RNA helicase 22-like	LOC111319340	111319340	protein-coding	XM_022922164.1	Spis_XP_022777899_1	476	
NW_019217784.1	148640	150578		minus	uncharacterized gene	LOC111331572	111331572	pseudogene				
NW_019217784.1	153644	157203		minus	collagen triple helix repeat-containing protein 1-like	LOC111320611	111320611	protein-coding	XM_022923266.1	Spis_XP_022779001_1	258	
NW_019217784.1	160288	161847		minus	D(4) dopamine receptor-like	LOC111331661	111331661	protein-coding	XM_022936853.1	Spis_XP_022792588_1	345	
NW_019217784.1	165069	176039		minus	tartrate-resistant acid phosphatase type 5-like	LOC111321260	111321260	protein-coding	XM_022924455.1	Spis_XP_022780190_1	338	
NW_019217784.1	178292	185630		minus	tartrate-resistant acid phosphatase type 5-like	LOC111339961	111339961	protein-coding	XM_022946747.1	Spis_XP_022802482_1	375	
NW_019217784.1	186050	195465		plus	zinc finger CCCH domain-containing protein 3-like	LOC111344587	111344587	protein-coding	XM_022951864.1	Spis_XP_022807599_1	753	
NW_019217784.1	201177	210285		minus	dysbindin-like	LOC111331958	111331958	protein-coding	XM_022937233.1	Spis_XP_022792968_1	325	
NW_019217784.1	210347	212811		plus	tropomyosin alpha-1 chain-like	LOC111345918	111345918	protein-coding	XM_022953239.1	Spis_XP_022808974_1	184	
NW_019217784.1	216218	223160		plus	uncharacterized protein LOC111342729 isoform X1	LOC111342729	111342729	protein-coding	XM_022949872.1	Spis_XP_022805607_1	120	
NW_019217784.1	224587	240313		plus	uncharacterized protein LOC111332051	LOC111332051	111332051	protein-coding	XM_022937343.1	Spis_XP_022793078_1	932	
NW_019217784.1	242529	246057		minus	uncharacterized gene	LOC111328369	111328369	pseudogene				
NW_019217784.1	246094	252921		minus	nucleolar protein 9-like	LOC111328189	111328189	protein-coding	XM_022932606.1	Spis_XP_022788341_1	754	
NW_019217784.1	253033	279313		plus	receptor-type guanylate cyclase gcy-8-like	LOC111328095	111328095	protein-coding	XM_022932504.1	Spis_XP_022788239_1	1242	
NW_019217784.1	279404	284950		plus	putative ATP-dependent RNA helicase DHX33	LOC111328282	111328282	protein-coding	XM_022932715.1	Spis_XP_022788450_1	701	
NW_019217784.1	285467	295664		minus	guanine nucleotide-binding protein G(o) subunit alpha-like	LOC111328459	111328459	protein-coding	XM_022932932.1	Spis_XP_022788667_1	354	
