<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:5d7776b4543af8d970539e961a0866b67331d5f9947231a2bfdc27aa8b91aa04
size 2481320
=======
Amil_Amillepora00001-RA	XP_029198569.2	XM_029342736.2	LOW_QUALITY_PROTEIN_tyrosine-protein_phosphatase_Lar-like
Amil_Amillepora00002-RA	XP_029198590.2	XM_029342757.2	radial_spoke_head_1_homolog
Amil_Amillepora00003-RA	XP_029182467.2	XM_029326634.2	putative_exosome_complex_component_rrp40
Amil_Amillepora00004-RA	XP_044173664.1	XM_044317729.1	uncharacterized_protein_LOC114963510
Amil_Amillepora00005-RA	XP_029198581.2	XM_029342748.2	coiled-coil_domain-containing_protein_130-like
Amil_Amillepora00006-RA	XP_029198578.2	XM_029342745.2	uncharacterized_protein_LOC114963511_isoform_X1
Amil_Amillepora00009-RA	XP_044173660.1	XM_044317725.1	LOW_QUALITY_PROTEIN_uncharacterized_protein_LOC114963509
Amil_Amillepora00011-RA	XP_044173679.1	XM_044317744.1	uncharacterized_protein_LOC122957574
Amil_Amillepora00014-RA	XP_044173701.1	XM_044317766.1	LOW_QUALITY_PROTEIN_receptor-type_tyrosine-protein_phosphatase_S-like
Amil_Amillepora00025-RA	XP_044173652.1	XM_044317717.1	receptor-type_tyrosine-protein_phosphatase_S-like
Amil_Amillepora00029-RA	XP_029184850.2	XM_029329017.2	uncharacterized_protein_LOC114952935
Amil_Amillepora00030-RA	XP_029184845.2	XM_029329012.2	endo-1,4-beta-xylanase_3-like_isoform_X1
Amil_Amillepora00032-RA	XP_044173721.1	XM_044317786.1	succinyl-CoA3-ketoacid_coenzyme_A_transferase_1,_mitochondrial-like_isoform_X1
Amil_Amillepora00033-RA	XP_029184847.2	XM_029329014.2	heterogeneous_nuclear_ribonucleoprotein_U-like_protein_1
Amil_Amillepora00034-RA	XP_029184851.1	XM_029329018.2	LOW_QUALITY_PROTEIN_lymphokine-activated_killer_T-cell-originated_protein_kinase-like
Amil_Amillepora00038-RA	XP_029184800.1	XM_029328967.2	calmodulin-alpha-like_isoform_X1
Amil_Amillepora00046-RA	XP_029184737.2	XM_029328904.2	ATP-dependent_DNA_helicase_PIF1-like_isoform_X1
Amil_Amillepora00048-RA	XP_029184743.1	XM_029328910.2	DNA_methyltransferase_1-associated_protein_1-like_isoform_X1
Amil_Amillepora00049-RA	XP_029184745.2	XM_029328912.2	gamma-aminobutyric_acid_receptor_alpha-like
Amil_Amillepora00051-RA	XP_044173848.1	XM_044317913.1	potassium_voltage-gated_channel_subfamily_A_member_2-like
Amil_Amillepora00052-RA	XP_029184757.2	XM_029328924.2	calmodulin-A-like
Amil_Amillepora00054-RA	XP_029184739.2	XM_029328906.2	lysophosphatidic_acid_receptor_1-like
Amil_Amillepora00055-RA	XP_029184756.1	XM_029328923.2	UDP-xylose_and_UDP-N-acetylglucosamine_transporter-like
Amil_Amillepora00056-RA	XP_029184753.2	XM_029328920.2	UDP-N-acetylglucosamine_transporter-like_isoform_X1
Amil_Amillepora00059-RA	XP_029184703.2	XM_029328870.2	lysine-specific_demethylase_4B-like
Amil_Amillepora00060-RA	XP_029184697.2	XM_029328864.2	WD_repeat-containing_protein_36-like_isoform_X1
Amil_Amillepora00063-RA	XP_044173930.1	XM_044317995.1	uncharacterized_protein_LOC122957673
Amil_Amillepora00064-RA	XP_029184717.1	XM_029328884.2	sorting_nexin-7-like
Amil_Amillepora00066-RA	XP_029184715.2	XM_029328882.2	39S_ribosomal_protein_L55,_mitochondrial-like
Amil_Amillepora00067-RA	XP_029184709.2	XM_029328876.2	uncharacterized_protein_LOC114952839
Amil_Amillepora00070-RA	XP_029184825.2	XM_029328992.2	uncharacterized_protein_LOC114952918
Amil_Amillepora00071-RA	XP_044173975.1	XM_044318040.1	FGGY_carbohydrate_kinase_domain-containing_protein-like_isoform_X1
Amil_Amillepora00074-RA	XP_029184723.2	XM_029328890.2	LOW_QUALITY_PROTEIN_endoplasmic_reticulum_metallopeptidase_1-like
Amil_Amillepora00076-RA	XP_029184727.2	XM_029328894.2	uncharacterized_protein_LOC114952852
Amil_Amillepora00077-RA	XP_029184725.2	XM_029328892.2	dystrophin-like_isoform_X1
Amil_Amillepora00085-RA	XP_029184822.1	XM_029328989.2	uncharacterized_protein_LOC114952913
Amil_Amillepora00086-RA	XP_029184819.1	XM_029328986.2	uncharacterized_protein_LOC114952910
Amil_Amillepora00087-RA	XP_029184719.1	XM_029328886.2	UV_excision_repair_protein_RAD23_homolog_A-like
Amil_Amillepora00088-RA	XP_029184718.2	XM_029328885.2	serine/threonine-protein_kinase_PLK1-like
Amil_Amillepora00090-RA	XP_029184772.2	XM_029328939.2	ankyrin_repeat_and_SOCS_box_protein_8-like
Amil_Amillepora00091-RA	XP_029184775.1	XM_029328942.2	cytochrome_c_oxidase_assembly_factor_7-like_isoform_X1
Amil_Amillepora00093-RA	XP_029184771.2	XM_029328938.2	calreticulin-like
Amil_Amillepora00094-RA	XP_029184774.1	XM_029328941.2	bifunctional_peptidase_and_(3S)-lysyl_hydroxylase_Jmjd7-like
Amil_Amillepora00095-RA	XP_029184777.2	XM_029328944.2	COMM_domain-containing_protein_2-like
Amil_Amillepora00096-RA	XP_029184769.2	XM_029328936.2	cell_division_cycle_protein_16_homolog
Amil_Amillepora00097-RA	XP_029184767.2	XM_029328934.2	disabled_homolog_2-like
Amil_Amillepora00098-RA	XP_029184773.2	XM_029328940.2	mediator_of_RNA_polymerase_II_transcription_subunit_26-like
Amil_Amillepora00099-RA	XP_029184763.2	XM_029328930.2	transient_receptor_potential_cation_channel_subfamily_A_member_1-like
Amil_Amillepora00109-RA	XP_044174126.1	XM_044318191.1	ankyrin_repeat_domain-containing_protein_66-like
Amil_Amillepora00110-RA	XP_044164282.1	XM_044308347.1	uncharacterized_protein_LOC122948446
Amil_Amillepora00114-RA	XP_044174157.1	XM_044318222.1	protein_IWS1_homolog_isoform_X1
Amil_Amillepora00115-RA	XP_029184908.2	XM_029329075.2	galactose-3-O-sulfotransferase_2-like
Amil_Amillepora00118-RA	XP_029184907.2	XM_029329074.2	Golgi_pH_regulator-like
Amil_Amillepora00119-RA	XP_029185076.1	XM_029329243.2	G2/mitotic-specific_cyclin-B-like
Amil_Amillepora00120-RA	XP_029185038.1	XM_029329205.2	proteasome_subunit_alpha_type-1-like
Amil_Amillepora00122-RA	XP_044174191.1	XM_044318256.1	unconventional_myosin-Ie-like_isoform_X1
Amil_Amillepora00124-RA	XP_029185036.2	XM_029329203.2	adenosine_deaminase-like_protein
Amil_Amillepora00126-RA	XP_029185081.2	XM_029329248.2	protein_FAM221B-like
Amil_Amillepora00128-RA	XP_029184973.2	XM_029329140.2	microtubule-associated_protein_futsch-like
Amil_Amillepora00134-RA	XP_029185082.2	XM_029329249.2	uncharacterized_protein_LOC114953094
Amil_Amillepora00136-RA	XP_029184911.1	XM_029329078.2	pre-B-cell_leukemia_transcription_factor_1-like_isoform_X1
Amil_Amillepora00137-RA	XP_029184909.2	XM_029329076.2	GTPase-activating_protein_and_VPS9_domain-containing_protein_1-like_isoform_X1
Amil_Amillepora00138-RA	XP_044174296.1	XM_044318361.1	LOW_QUALITY_PROTEIN_kinesin-like_protein_unc-104
Amil_Amillepora00140-RA	XP_029184915.2	XM_029329082.2	grpE_protein_homolog_1,_mitochondrial-like
Amil_Amillepora00143-RA	XP_029184948.2	XM_029329115.2	kinesin-like_protein_KIF14
Amil_Amillepora00144-RA	XP_029184949.2	XM_029329116.2	mitochondrial_thiamine_pyrophosphate_carrier-like_isoform_X1
Amil_Amillepora00145-RA	XP_029184955.2	XM_029329122.2	protein_C10-like
Amil_Amillepora00146-RA	XP_029185064.1	XM_029329231.2	transcription_initiation_factor_IIB-like_isoform_X1
Amil_Amillepora00147-RA	XP_044165736.1	XM_044309801.1	uncharacterized_protein_LOC114953071
Amil_Amillepora00148-RA	XP_044174363.1	XM_044318428.1	transmembrane_protein_198-like
Amil_Amillepora00151-RA	XP_044174395.1	XM_044318460.1	protein_yippee-like_5
Amil_Amillepora00154-RA	XP_029185028.1	XM_029329195.2	60S_ribosomal_protein_L7a-like
Amil_Amillepora00155-RA	XP_029185029.2	XM_029329196.2	mediator_of_RNA_polymerase_II_transcription_subunit_22-like_isoform_X1
Amil_Amillepora00156-RA	XP_044174396.1	XM_044318461.1	cryptochrome-1-like
Amil_Amillepora00163-RA	XP_029185023.1	XM_029329190.2	spliceosome_RNA_helicase_Ddx39b
Amil_Amillepora00164-RA	XP_044174476.1	XM_044318541.1	hercynylcysteine_sulfoxide_lyase-like
Amil_Amillepora00165-RA	XP_044174465.1	XM_044318530.1	abnormal_spindle-like_microcephaly-associated_protein_homolog_isoform_X1
Amil_Amillepora00167-RA	XP_029184991.2	XM_029329158.2	phosphatidylinositol_polyphosphate_5-phosphatase_type_IV-like_isoform_X1
Amil_Amillepora00168-RA	XP_029184984.2	XM_029329151.2	uncharacterized_protein_LOC114953023
Amil_Amillepora00169-RA	XP_029184987.1	XM_029329154.2	iron-sulfur_protein_NUBPL-like_isoform_X1
Amil_Amillepora00170-RA	XP_029184985.1	XM_029329152.2	mitotic_checkpoint_protein_BUB3-like_isoform_X1
Amil_Amillepora00173-RA	XP_029185006.2	XM_029329173.2	small_RNA_2-O-methyltransferase-like_isoform_X2
Amil_Amillepora00174-RA	XP_029185003.2	XM_029329170.2	glomulin-like_isoform_X1
Amil_Amillepora00175-RA	XP_029185009.2	XM_029329176.2	putative_GPI-anchor_transamidase
Amil_Amillepora00176-RA	XP_029184998.2	XM_029329165.2	adenylate_kinase_isoenzyme_5-like
Amil_Amillepora00177-RA	XP_029185000.2	XM_029329167.2	uncharacterized_protein_LOC114953035
Amil_Amillepora00178-RA	XP_029185011.2	XM_029329178.2	adenylate_kinase_isoenzyme_5-like
Amil_Amillepora00179-RA	XP_044174557.1	XM_044318622.1	NADPH-dependent_diflavin_oxidoreductase_1-like
Amil_Amillepora00186-RA	XP_044164466.1	XM_044308531.1	uncharacterized_protein_LOC114971451
Amil_Amillepora00190-RA	XP_044165763.1	XM_044309828.1	E3_ubiquitin-protein_ligase_rnf213-alpha-like
Amil_Amillepora00192-RA	XP_044174622.1	XM_044318687.1	E3_ubiquitin-protein_ligase_rnf213-alpha-like
Amil_Amillepora00193-RA	XP_029184999.2	XM_029329166.2	uncharacterized_protein_LOC114953034
Amil_Amillepora00196-RA	XP_029185078.2	XM_029329245.2	heparan_sulfate_2-O-sulfotransferase_1-like
Amil_Amillepora00197-RA	XP_029184931.2	XM_029329098.2	allene_oxide_synthase,_chloroplastic-like_isoform_X1
Amil_Amillepora00198-RA	XP_029184928.1	XM_029329095.2	9-divinyl_ether_synthase-like_isoform_X1
Amil_Amillepora00199-RA	XP_044174669.1	XM_044318734.1	palmitoyltransferase_ZDHHC12-A-like
Amil_Amillepora00225-RA	XP_029184997.2	XM_029329164.2	dolichyldiphosphatase_1-like
Amil_Amillepora00231-RA	XP_044165783.1	XM_044309848.1	LOW_QUALITY_PROTEIN_TNF_receptor-associated_factor_2-like
Amil_Amillepora00232-RA	XP_029211777.2	XM_029355944.2	leucine-rich_repeat-containing_G-protein_coupled_receptor_4-like_isoform_X1
Amil_Amillepora00235-RA	XP_044174768.1	XM_044318833.1	uncharacterized_protein_LOC114976869
Amil_Amillepora00237-RA	XP_044165833.1	XM_044309898.1	toll-like_receptor_1
Amil_Amillepora00243-RA	XP_044173764.1	XM_044317829.1	uncharacterized_protein_LOC122957572
Amil_Amillepora00247-RA	XP_044174798.1	XM_044318863.1	toll-like_receptor_6_isoform_X1
Amil_Amillepora00252-RA	XP_029192721.2	XM_029336888.2	uncharacterized_protein_LOC114959009
Amil_Amillepora00261-RA	XP_044174831.1	XM_044318896.1	LOW_QUALITY_PROTEIN_uncharacterized_protein_LOC114950507
Amil_Amillepora00263-RA	XP_029182115.2	XM_029326282.2	clathrin_light_chain_A-like
Amil_Amillepora00264-RA	XP_029182108.2	XM_029326275.2	bcl-2-related_ovarian_killer_protein-like
Amil_Amillepora00265-RA	XP_029182099.2	XM_029326266.2	disintegrin_and_metalloproteinase_domain-containing_protein_10-like
Amil_Amillepora00266-RA	XP_044174836.1	XM_044318901.1	LOW_QUALITY_PROTEIN_xaa-Pro_aminopeptidase_3-like
Amil_Amillepora00269-RA	XP_029183085.2	XM_029327252.2	ankyrin_repeat_domain-containing_protein_45-like
